Iteration,Random_Max,Random_Avg
909,0.414578,0.128674
910,0.414578,0.126145
911,0.414578,0.127107
912,0.414578,0.126931
913,0.414578,0.128326
914,0.414578,0.126192
915,0.414578,0.132358
916,0.414578,0.127731
917,0.414578,0.126556
918,0.414578,0.130158
919,0.416880,0.129735
920,0.416880,0.124045
921,0.416880,0.129011
922,0.428991,0.127749
923,0.428991,0.127283
924,0.428991,0.130471
925,0.428991,0.132795
926,0.428991,0.129644
927,0.428991,0.129732
928,0.428991,0.123713
929,0.428991,0.130336
930,0.428991,0.122233
931,0.428991,0.131291
932,0.428991,0.128224
933,0.428991,0.124679
934,0.428991,0.129327
935,0.428991,0.129928
936,0.428991,0.126763
937,0.428991,0.127880
938,0.428991,0.127817
939,0.428991,0.127070
940,0.428991,0.129610
941,0.428991,0.127588
942,0.428991,0.127359
943,0.428991,0.124656
944,0.432220,0.129206
945,0.432220,0.126832
946,0.432220,0.131167
947,0.432220,0.130768
948,0.432220,0.129245
949,0.434628,0.126967
950,0.434628,0.131792
951,0.434628,0.126020
952,0.434628,0.129727
953,0.434628,0.127154
954,0.434628,0.126546
955,0.434628,0.127250
956,0.434628,0.131597
957,0.434628,0.127396
958,0.434628,0.127928
959,0.434628,0.127805
960,0.434628,0.132887
961,0.434628,0.125298
962,0.434628,0.129728
963,0.434628,0.129973
964,0.434628,0.128880
965,0.434628,0.127948
966,0.434628,0.131859
967,0.434628,0.129136
968,0.434628,0.131914
969,0.434628,0.127694
970,0.434628,0.128913
971,0.434628,0.129269
972,0.434628,0.124346
973,0.434628,0.126804
974,0.434628,0.123654
975,0.434628,0.131139
976,0.434628,0.128940
977,0.434628,0.128495
978,0.434628,0.130758
979,0.434628,0.129346
980,0.434628,0.127103
981,0.434628,0.126320
982,0.434628,0.126754
983,0.434628,0.128663
984,0.434628,0.129040
985,0.434628,0.130057
986,0.434628,0.126284
987,0.434628,0.126703
988,0.434628,0.125883
989,0.440910,0.129067
990,0.440910,0.128797
991,0.440910,0.128090
992,0.440910,0.131749
993,0.440910,0.126788
994,0.440910,0.130474
995,0.440910,0.129168
996,0.440910,0.129053
997,0.440910,0.127321
998,0.440910,0.128076
999,0.440910,0.133067
1000,0.440910,0.129084
1001,0.440910,0.135336
1002,0.440910,0.131224
1003,0.440910,0.128291
1004,0.440910,0.128044
1005,0.440910,0.129666
1006,0.440910,0.131588
1007,0.440910,0.127582
1008,0.440910,0.125747
1009,0.440910,0.131319
1010,0.440910,0.131268
1011,0.440910,0.128662
1012,0.440910,0.131954
1013,0.440910,0.125763
1014,0.440910,0.130390
1015,0.440910,0.129884
1016,0.440910,0.129680
1017,0.440910,0.126420
1018,0.440910,0.130671
1019,0.440910,0.132273
1020,0.440910,0.124451
1021,0.440910,0.126120
1022,0.440910,0.129017
1023,0.440910,0.127851
1024,0.440910,0.131326
1025,0.440910,0.131048
1026,0.440910,0.130523
1027,0.440910,0.126697
1028,0.440910,0.130769
1029,0.440910,0.132496
1030,0.440910,0.128746
1031,0.440910,0.125905
1032,0.440910,0.129946
1033,0.440910,0.128962
1034,0.440910,0.127662
1035,0.440910,0.130891
1036,0.440910,0.128720
1037,0.440910,0.128348
1038,0.440910,0.130260
1039,0.440910,0.128547
1040,0.440910,0.127307
1041,0.440910,0.125576
1042,0.440910,0.128225
1043,0.440910,0.129331
1044,0.440910,0.127053
1045,0.440910,0.128944
1046,0.440910,0.127154
1047,0.440910,0.129207
1048,0.440910,0.128999
1049,0.440910,0.129060
1050,0.440910,0.127449
1051,0.440910,0.127591
1052,0.440910,0.131580
1053,0.440910,0.132495
1054,0.440910,0.126533
1055,0.440910,0.126784
